"Submit_ID","Brand_Reg","Model_No","Country","screensize","Screen_Tech","Avg_mode_power","Star2","Power supply"
133946,"VIANO","STV24HD","Australia","24","LCD (LED)",20.19,5.5,"Internal"
133953,"VIANO","STV49UHD4K","Australia","50","LCD (LED)",95.78,4,"Internal"
135639,"SONIQ","E42FV40A","Australia","43","LCD",46.6,5.5,"Internal"
135641,"SONIQ","W65UV40A","Australia","65","LCD",132.4,4.5,"Internal"
137575,"CAIXUN","LE-43N1","Australia","43","LCD",59.24,4.5,"Internal"
137575,"CAIXUN","LE-43F2","Australia","43","LCD",59.24,4.5,"Internal"
137575,"CAIXUN","LE-43S1","Australia","43","LCD",59.24,4.5,"Internal"
137575,"CAIXUN","LE-43N1, LE-43F2, LE-43S1","Australia","43","LCD",59.24,4.5,"Internal"
137578,"CAIXUN","LE-40N1","Australia","40","LCD",38.82,5.5,"Internal"
137578,"CAIXUN","LE-40F2","Australia","40","LCD",38.82,5.5,"Internal"
137578,"CAIXUN","LE-40S1","Australia","40","LCD",38.82,5.5,"Internal"
137578,"CAIXUN","LE-40N1, LE-40F2, LE-40S1","Australia","40","LCD",38.82,5.5,"Internal"
151436,"YOKOHAMA","YOKT55Q8","Australia","55","LCD",75.58,5.5,"Internal"
151437,"YOKOHAMA","YOKT65Q8","Australia","65","LCD",148.05,4,"Internal"
152453,"ENGLAON","LED32M80","Australia","40","LCD (LED)",47.2,4.5,"Internal"
152453,"ENGLAON","LED32X80","Australia","40","LCD (LED)",47.2,4.5,"Internal"
152453,"ENGLAON","32in Smart TV","Australia","40","LCD (LED)",47.2,4.5,"Internal"
152455,"ENGLAON","LED27M80","Australia","32","LCD (LED)",42.76,4,"Internal"
152455,"ENGLAON","LED27X80","Australia","32","LCD (LED)",42.76,4,"Internal"
152455,"ENGLAON","27in Smart TV","Australia","32","LCD (LED)",42.76,4,"Internal"
153112,"ENGLAON","LED22M60","Australia","24","LCD (LED)",27.25,4,"Internal"
153113,"ENGLAON","LED32M10","Australia","32","LCD (LED)",40.45,4.5,"Internal"
158015,"ENGLAON","LED25X90","Australia","24","LCD (LED)",28.1,4,"EPS"
158187,"ENGLAON","LED24M30","Australia","24","LCD (LED)",21.9,5,"EPS"
158359,"ENGLAON","LED27X90","Australia","32","LCD (LED)",31.3,4,"EPS"
164838,"ENGLAON","LED24X90","Australia","24","LCD (LED)",28.3,4,"EPS"
164843,"ENGLAON","LED32X90","Australia","32","LCD (LED)",37.1,4.5,"EPS"
164845,"ENGLAON","LED40X90","Australia","40","LCD (LED)",38.6,5.5,"EPS"
170313,"ENGLAON","LED65M10","Australia","65","LCD (LED)",201,2.5,"Internal"
170319,"ENGLAON","LED55M10","Australia","55","LCD (LED)",143.5,3,"Internal"
171860,"ENGLAON","LED22X80","Australia","24","LCD (LED)",27.25,4,"EPS"
